"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","141","Negative: некорректная структура/типы — name числом","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","passed","Sun Apr 05 14:31:20 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","138","Negative: некорректная структура/типы — price дробным","Сервис объявлений","Sun Apr 05 14:31:14 UTC 2026","passed","Sun Apr 05 14:31:14 UTC 2026","Создание объявления","Объявления","",""
"Отрицательный sellerID должен отклоняться с 400; не использовать sellerID=-1 (зависание, BUG-003). Подробнее: BUGS.md#BUG-008","137","[BUG-008] POST: отрицательный sellerID=-111111 принимается","Сервис объявлений","Sun Apr 05 14:31:24 UTC 2026","failed","Sun Apr 05 14:31:24 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","136","Negative: некорректная структура/типы — sellerID дробным","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","passed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","136","Negative: некорректная структура/типы — нет viewCount в statistics","Сервис объявлений","Sun Apr 05 14:31:14 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","Создание объявления","Объявления","",""
"Создаём несколько объявлений одного продавца и проверяем, что все возвращённые объявления имеют корректный sellerId","594","Все объявления в ответе принадлежат нужному sellerId","Сервис объявлений","Sun Apr 05 14:32:14 UTC 2026","passed","Sun Apr 05 14:32:14 UTC 2026","Получение объявлений продавца","Объявления","",""
"2^53+1 принимается с 200; INT_MAX — ожидаемый валидный случай. Отрицательный sellerID — см. TestCreateItemNegativeSellerIDPost","137","sellerID=2^53+1 принимается","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","passed","Sun Apr 05 14:31:20 UTC 2026","Создание объявления","Объявления","",""
"Создаём объявление, получаем статистику по UUID и проверяем структуру ответа","437","Получение статистики по созданному объявлению","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","","Статистика","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","143","Negative: отсутствие обязательных полей — отсутствует sellerID","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","passed","Sun Apr 05 14:31:21 UTC 2026","Создание объявления","Объявления","",""
"Чрезмерная длина названия должна отклоняться с 400; фактически API принимает. Подробнее: BUGS.md#BUG-009","585","[BUG-009] name из 100000 символов должен возвращать 400","Сервис объявлений","Sun Apr 05 14:31:25 UTC 2026","failed","Sun Apr 05 14:31:25 UTC 2026","Создание объявления","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","135","Negative: отсутствие обязательных полей — отсутствует price (без поля)","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"Фактически API принимает огромные значения statistics; допустим ответ 400","136","statistics со значениями 2^53+1","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"Ожидаемое поведение — 400; фактически 200 (BUG-006). Тест фиксирует текущий ответ.","203","[BUG-006] Отрицательный sellerID в пути — фиксация ответа 200","Сервис объявлений","Sun Apr 05 14:32:32 UTC 2026","passed","Sun Apr 05 14:32:32 UTC 2026","Получение объявлений продавца","Объявления","",""
"Граничное значение: sellerID=9007199254740993 (2^53+1). Ограничение сверху не задокументировано — фиксируем поведение","60142","sellerID=2^53+1 — очень большой sellerID","Сервис объявлений","Sun Apr 05 14:31:13 UTC 2026","failed","Sun Apr 05 14:32:13 UTC 2026","Получение объявлений продавца","Объявления","",""
"GET /api/1/statistic/:id со строкой не в формате UUID должен возвращать 400 Bad Request","140","Negative: невалидный формат ID статистики — строка вместо UUID","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","","Статистика","",""
"Сложные символы Unicode должны приниматься API","141","Security: составной эмодзи в name","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — statistics строкой","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"API должен отклонять отрицательные счётчики с 400, но принимает и сохраняет объявление. Подробнее: BUGS.md#BUG-004","137","[BUG-004] Отрицательные statistics — contacts=-1","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","failed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/item/:id с UUID, которого нет в базе, должен возвращать 404 Not Found","136","Несуществующий UUID возвращает 404","Сервис объявлений","Sun Apr 05 14:32:15 UTC 2026","passed","Sun Apr 05 14:32:15 UTC 2026","Получение объявления","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","148","Negative: отсутствие обязательных полей — невалидный JSON","Сервис объявлений","Sun Apr 05 14:31:18 UTC 2026","passed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","154","Negative: некорректная структура/типы — contacts null в statistics","Сервис объявлений","Sun Apr 05 14:31:24 UTC 2026","passed","Sun Apr 05 14:31:24 UTC 2026","Создание объявления","Объявления","",""
"API должен отклонять чрезмерную/неточную цену с 400; фактически принимает. Подробнее: BUGS.md#BUG-007","436","[BUG-007] price=2^53+1 принимается","Сервис объявлений","Sun Apr 05 14:31:21 UTC 2026","failed","Sun Apr 05 14:31:21 UTC 2026","Создание объявления","Объявления","",""
"SQL проходит как обычный текст; проверка сохранения через GET","276","Security: SQL-инъекция в name","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/:sellerID/item для продавца без объявлений возвращает 200 и тело []","543","Продавец без объявлений — 200 и пустой массив","Сервис объявлений","Sun Apr 05 14:32:13 UTC 2026","passed","Sun Apr 05 14:32:14 UTC 2026","Получение объявлений продавца","Объявления","",""
"Строковые значения в пути /api/1/:sellerID/item должны возвращать 400 Bad Request","145","Negative: нечисловой sellerID — строка латиница","Сервис объявлений","Sun Apr 05 14:32:16 UTC 2026","passed","Sun Apr 05 14:32:16 UTC 2026","Получение объявлений продавца","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","135","Negative: отсутствие обязательных полей — пустой name","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/statistic/:id с пробелом вместо ID должен возвращать 400 Bad Request","139","Пустой ID возвращает 400","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","","Статистика","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","135","Negative: некорректная структура/типы — statistics null","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","passed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"DELETE для заведомо отсутствующего объявления должен возвращать 404.","137","Удаление несуществующего UUID","Сервис объявлений","Sun Apr 05 14:31:14 UTC 2026","passed","Sun Apr 05 14:31:14 UTC 2026","Удаление объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","155","Negative: некорректная структура/типы — нет поля statistics","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"Ожидаемое поведение — 400 без долгого ожидания. Фактически сервер может зависнуть; см. BUGS.md#BUG-003","143","[BUG-003] POST с sellerID=-1: таймаут или быстрый 400","Сервис объявлений","Sun Apr 05 14:31:23 UTC 2026","failed","Sun Apr 05 14:31:23 UTC 2026","Создание объявления","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","138","Negative: отсутствие обязательных полей — price передана строкой","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/statistic/:id со строкой не в формате UUID должен возвращать 400 Bad Request","594","Negative: невалидный формат ID статистики — числовой ID","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","","Статистика","",""
"GET /api/1/item/:id с пробелом вместо ID должен возвращать 400 Bad Request","142","Пустой ID возвращает 400","Сервис объявлений","Sun Apr 05 14:32:15 UTC 2026","passed","Sun Apr 05 14:32:15 UTC 2026","Получение объявления","Объявления","",""
"GET /api/1/item/:id с не-UUID значением должен возвращать 400 Bad Request","136","Negative: невалидный формат ID — строка вместо UUID","Сервис объявлений","Sun Apr 05 14:32:15 UTC 2026","passed","Sun Apr 05 14:32:15 UTC 2026","Получение объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","140","Negative: некорректная структура/типы — name null","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","passed","Sun Apr 05 14:31:20 UTC 2026","Создание объявления","Объявления","",""
"Фиксируем фактический формат ответа (см. API_DISCREPANCIES.md)","137","Успешный POST возвращает {""status"": ""Сохранили объявление - <UUID>""}","Сервис объявлений","Sun Apr 05 14:31:23 UTC 2026","passed","Sun Apr 05 14:31:23 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","149","Negative: некорректная структура/типы — viewCount null в statistics","Сервис объявлений","Sun Apr 05 14:31:25 UTC 2026","passed","Sun Apr 05 14:31:25 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","139","Negative: некорректная структура/типы — пустой объект statistics","Сервис объявлений","Sun Apr 05 14:31:22 UTC 2026","passed","Sun Apr 05 14:31:22 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — likes null в statistics","Сервис объявлений","Sun Apr 05 14:31:22 UTC 2026","passed","Sun Apr 05 14:31:22 UTC 2026","Создание объявления","Объявления","",""
"API должен отклонять price < 0 с ошибкой 400, но принимает и сохраняет объявление. Подробнее: BUGS.md#BUG-001","139","[BUG-001] Отрицательная цена принимается","Сервис объявлений","Sun Apr 05 14:31:24 UTC 2026","failed","Sun Apr 05 14:31:24 UTC 2026","Создание объявления","Объявления","",""
"Два последовательных GET /api/1/item/:id должны дать одинаковый JSON","60151","Повторный GET возвращает то же тело ответа","Сервис объявлений","Sun Apr 05 14:31:13 UTC 2026","failed","Sun Apr 05 14:32:13 UTC 2026","Получение объявления","Объявления","",""
"API должен отклонять name, состоящий только из пробелов, но принимает его. Подробнее: BUGS.md#BUG-005","141","[BUG-005] name из одних пробелов принимается","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","failed","Sun Apr 05 14:31:20 UTC 2026","Создание объявления","Объявления","",""
"API должен принимать statistics с нулевыми значениями, но возвращает 400. Подробнее: BUGS.md#BUG-002","152","[BUG-002] Нулевые значения statistics отклоняются","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","failed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/item/{id} с id вида SQL-инъекции не должен приводить к 500","540","Path с SQL-подобной строкой — 400, не 500","Сервис объявлений","Sun Apr 05 14:32:13 UTC 2026","passed","Sun Apr 05 14:32:14 UTC 2026","Получение объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","135","Negative: некорректная структура/типы — price null","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"Ожидается 400; допустим 500 (фактическое поведение сервиса)","137","Security: null-byte в name — отказ API","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/111111.5/item — идентификатор должен быть целым числом","137","Дробный sellerID в URL возвращает 400","Сервис объявлений","Sun Apr 05 14:32:16 UTC 2026","passed","Sun Apr 05 14:32:16 UTC 2026","Получение объявлений продавца","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","140","Negative: отсутствие обязательных полей — отсутствует name","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","passed","Sun Apr 05 14:31:20 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/item/:id с не-UUID значением должен возвращать 400 Bad Request","135","Negative: невалидный формат ID — UUID неправильной длины","Сервис объявлений","Sun Apr 05 14:32:14 UTC 2026","passed","Sun Apr 05 14:32:14 UTC 2026","Получение объявления","Объявления","",""
"sellerID=0 является отсутствующим значением и должен отклоняться с 400","142","sellerID=0 возвращает 400","Сервис объявлений","Sun Apr 05 14:31:23 UTC 2026","passed","Sun Apr 05 14:31:23 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — contacts строкой","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","Создание объявления","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","149","Negative: отсутствие обязательных полей — sellerID передан строкой","Сервис объявлений","Sun Apr 05 14:31:21 UTC 2026","passed","Sun Apr 05 14:31:21 UTC 2026","Создание объявления","Объявления","",""
"Согласно документации, price=0 недопустим — объявление должно иметь ненулевую цену","136","price=0 возвращает 400","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — statistics массивом","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — sellerID null","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","passed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"Граничное значение: price=1 должно приниматься API и сохраняться корректно","137","price=1 — минимальная валидная цена","Сервис объявлений","Sun Apr 05 14:31:22 UTC 2026","passed","Sun Apr 05 14:31:22 UTC 2026","Создание объявления","Объявления","",""
"Дополнительные ключи не ломают создание объявления","277","Неизвестные поля в теле запроса игнорируются","Сервис объявлений","Sun Apr 05 14:31:26 UTC 2026","passed","Sun Apr 05 14:31:26 UTC 2026","Создание объявления","Объявления","",""
"POST /api/1/item создаёт объявление; удаление — DELETE /api/2/item/:id; проверка отсутствия — GET /api/1/item/:id → 404.","991","Удаление существующего объявления","Сервис объявлений","Sun Apr 05 14:31:13 UTC 2026","passed","Sun Apr 05 14:31:14 UTC 2026","Удаление объявления","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","147","Negative: отсутствие обязательных полей — пустое тело","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"Создаём 50 объявлений с одним sellerID и проверяем, что GET возвращает все 50","7422","Список из 50 объявлений продавца без пагинационного обрезания","Сервис объявлений","Sun Apr 05 14:32:17 UTC 2026","passed","Sun Apr 05 14:32:24 UTC 2026","Получение объявлений продавца","Объявления","",""
"Два идентичных POST /api/1/item должны создавать два объявления с разными UUID","281","Одинаковые запросы создают разные UUID","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:18 UTC 2026","Создание объявления","Объявления","",""
"Создаём объявление со всеми полями (включая statistics) и проверяем данные через GET /api/1/item/:id","834","Создание объявления со всеми полями","Сервис объявлений","Sun Apr 05 14:31:13 UTC 2026","passed","Sun Apr 05 14:31:14 UTC 2026","Создание объявления","Объявления","",""
"API должен отклонять отрицательные счётчики с 400, но принимает и сохраняет объявление. Подробнее: BUGS.md#BUG-004","142","[BUG-004] Отрицательные statistics — viewCount=-1","Сервис объявлений","Sun Apr 05 14:31:21 UTC 2026","failed","Sun Apr 05 14:31:21 UTC 2026","Создание объявления","Объявления","",""
"XSS проходит как обычный текст; проверка сохранения через GET","290","Security: XSS в name","Сервис объявлений","Sun Apr 05 14:31:23 UTC 2026","passed","Sun Apr 05 14:31:24 UTC 2026","Создание объявления","Объявления","",""
"2^53+1 принимается с 200; INT_MAX — ожидаемый валидный случай. Отрицательный sellerID — см. TestCreateItemNegativeSellerIDPost","136","sellerID=INT_MAX принимается","Сервис объявлений","Sun Apr 05 14:31:22 UTC 2026","passed","Sun Apr 05 14:31:22 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","148","Negative: некорректная структура/типы — contacts дробным","Сервис объявлений","Sun Apr 05 14:31:18 UTC 2026","passed","Sun Apr 05 14:31:18 UTC 2026","Создание объявления","Объявления","",""
"Создаём объявление через POST, затем получаем по UUID через GET и проверяем все поля","274","E2E: создать объявление и получить по ID","Сервис объявлений","Sun Apr 05 14:32:14 UTC 2026","passed","Sun Apr 05 14:32:14 UTC 2026","Получение объявления","Объявления","",""
"Полная цепочка: POST /api/1/item → GET /api/1/item/:id → GET /api/1/statistic/:id","422","Полный E2E: создать → получить объявление → получить статистику","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","","Статистика","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — viewCount дробным","Сервис объявлений","Sun Apr 05 14:31:24 UTC 2026","passed","Sun Apr 05 14:31:24 UTC 2026","Создание объявления","Объявления","",""
"API должен отдавать дату в стандартном виде; при дубле смещения строка не разбирается time.Parse. Подробнее: BUGS.md#BUG-010","283","[BUG-010] createdAt должен парситься как ISO 8601 / RFC3339 без предобработки","Сервис объявлений","Sun Apr 05 14:32:14 UTC 2026","failed","Sun Apr 05 14:32:15 UTC 2026","Получение объявления","Объявления","",""
"Два запроса статистики подряд возвращают одинаковый viewCount","426","Повторный GET /statistic не изменяет viewCount","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","","Статистика","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","135","Negative: некорректная структура/типы — тело запроса массивом","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","passed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"API должен отклонять отрицательные счётчики с 400, но принимает и сохраняет объявление. Подробнее: BUGS.md#BUG-004","137","[BUG-004] Отрицательные statistics — likes=-1","Сервис объявлений","Sun Apr 05 14:31:22 UTC 2026","failed","Sun Apr 05 14:31:23 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/statistic/:id с несуществующим UUID должен возвращать 404 Not Found","145","Несуществующий UUID возвращает 404","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","","Статистика","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","136","Negative: некорректная структура/типы — likes строкой","Сервис объявлений","Sun Apr 05 14:31:18 UTC 2026","passed","Sun Apr 05 14:31:18 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — нет contacts в statistics","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","passed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","155","Negative: отсутствие обязательных полей — отсутствует поле likes в statistics","Сервис объявлений","Sun Apr 05 14:31:18 UTC 2026","passed","Sun Apr 05 14:31:18 UTC 2026","Создание объявления","Объявления","",""
"Строковые значения в пути /api/1/:sellerID/item должны возвращать 400 Bad Request","138","Negative: нечисловой sellerID — строка кириллица","Сервис объявлений","Sun Apr 05 14:32:16 UTC 2026","passed","Sun Apr 05 14:32:16 UTC 2026","Получение объявлений продавца","Объявления","",""
"Создаём два объявления одного продавца и проверяем, что оба присутствуют в ответе GET /api/1/:sellerID/item","430","Получение списка объявлений продавца","Сервис объявлений","Sun Apr 05 14:32:16 UTC 2026","passed","Sun Apr 05 14:32:16 UTC 2026","Получение объявлений продавца","Объявления","",""
"Создаём объявления у двух разных продавцов; GET по sellerID первого должен вернуть только его объявления","438","Список продавца A не содержит объявлений продавца B","Сервис объявлений","Sun Apr 05 14:32:15 UTC 2026","passed","Sun Apr 05 14:32:15 UTC 2026","Получение объявлений продавца","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","147","Negative: некорректная структура/типы — viewCount строкой","Сервис объявлений","Sun Apr 05 14:31:14 UTC 2026","passed","Sun Apr 05 14:31:14 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/item/:id с не-UUID значением должен возвращать 400 Bad Request","141","Negative: невалидный формат ID — числовой ID","Сервис объявлений","Sun Apr 05 14:32:15 UTC 2026","passed","Sun Apr 05 14:32:15 UTC 2026","Получение объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","136","Negative: некорректная структура/типы — likes дробным","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","Создание объявления","Объявления","",""
